ID,Age,Gender,BUS,BUS_history,Work_status,Work_status_gender,BUSsuccess,RevenueBest,MarketValBest,Operate_longest,AccGoals,BUS_current,HPS,SV,MV,Ex,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
S188,30,0,1,0,5,8,4,300000, ,3,0,0,27,14,10,3,0.919526449,0.845528891,1.218448921,1.484617774,1.062623805,1.129169352,0.053178414,0.002827944
L089,44,0,1,1,5,8,3,1000000, ,4,1,1,38,15,14,6,2.665516123,7.104976202,1.732233735,3.000633713,2.487453996,6.187427382,1.71818466,2.952158526
L086,53,0,1,0,5,8,4,15000000, ,3,0,1,19,8,5,5,0.287012644,0.082376258,-0.141162707,0.01992691,0.02389409,0.000570928,1.306933889,1.708076191
H016,51,0,1,0,5,8, , , ,1, ,0,17,8,6,3,-0.019963911,0.000398558,-0.173370133,0.030057203,0.279294376,0.078005348,0.274064575,0.075111391
H073,51,0,1,0,5,8, , , ,1, ,0,22,7,10,5,0.651446442,0.424382467,-0.461702969,0.213169632,1.447524262,2.095326489,1.285897112,1.653531382
H046,31,0,1,0,5,8, , , ,2, ,0,29,16,7,6,1.207296798,1.457565557,1.811218307,3.280511757,0.204779984,0.041934842,1.581445608,2.50097021
H024,24,0,1,1,5,8, , , ,1, ,0,26,14,8,3,0.670007137,0.448909564,1.121826646,1.258495023,0.368537303,0.135819744,-0.009931918,9.86E-05
H042,31,0,1,1,5,8, , , ,2, ,0,27,12,9,5,0.938732656,0.881219,0.657886961,0.432815253,0.788894927,0.622355206,1.075529339,1.15676336
H112,40,0,1,1,5,8, , , ,3, ,0,27,12,9,5,1.111588519,1.235629035,0.802820375,0.644520554,0.953852266,0.909834144,1.170194837,1.369355956
L070,32,0,1,1,5,8, , , , , , ,12,8,2,1,-1.056292195,1.115753202,-0.479340673,0.229767481,-1.237178781,1.530611336,-0.937617346,0.879126288
L126,47,0,1,1,5,8, , , , , , ,12,8,2,1,-0.768199091,0.590129844,-0.237784983,0.056541698,-0.962249883,0.925924838,-0.779841517,0.608152791
L165,66,0,1,1,5,8, , , , , , ,12,8,2,1,-0.40328116,0.162635694,0.068185557,0.00464927,-0.614006613,0.377004121,-0.579992133,0.336390874
L145,56,0,1,0, ,, , , , , ,0,12,8,2,1,-0.595343229,0.35443356,-0.092851569,0.008621414,-0.797292545,0.635675402,-0.685176019,0.469466177
S072,25,1,1,0,0,,4,0,0,2,1,0,27,10,11,6,0.653071625,0.426502547,-0.277025282,0.076743007,1.173476642,1.377047428,1.521193216,2.3140288
S050,51,1,1,1,0,,3,0,0,2,0,0,20,8,7,4,0.212458511,0.045138619,-0.434994427,0.189220151,0.481790178,0.232121775,0.782838783,0.61283656
S089,26,1,1,0,0,,4,1000,10000,1,1,0,22,10,7,3,0.000867479,7.53E-07,-0.26092157,0.068080066,0.023575348,0.000555797,0.013962799,0.00019496
S082,25,1,1,0,0,,4,2000, ,1, ,0,28,16,7,4,0.787353695,0.619925842,1.452971737,2.111126869,0.005246755,2.75E-05,0.509360679,0.259448301
L117,57,1,1,0,0,,2,60000,0,2,1,0,19,12,4,2,0.193413682,0.037408852,0.814959196,0.66415849,-0.284410678,0.080889434,-0.165883422,0.02751731
S071,28,1,1,0,0,,4,70000,0,3,1,0,24,10,10,3,0.307844034,0.094767949,-0.228714144,0.05231016,0.93640495,0.87685423,0.034999576,0.00122497
S162,30,1,1,0,0,,3,150000, ,1,0,0,24,9,9,3,0.346256448,0.119893528,-0.484839556,0.235069395,0.681004664,0.463767353,0.056036353,0.003140073
L184,44,1,1,0,0,,3,200000, ,1,1,1,16,4,9,3,-0.45911322,0.210784949,-1.701051762,2.893577096,0.937604969,0.879103077,0.203293794,0.041328367
L049,37,1,1,1,0,,3,5000000,35000000,3,0,1,12,8,2,1,-1.130684951,1.278448458,-0.660446404,0.436189452,-1.235097484,1.525465796,-0.882167463,0.778219433
S094,25,1,0,-1,0,, , , , , ,-1,5,4,1,0,-2.301133928,5.295217354,-2.007022302,4.028138521,-1.747098074,3.05235168,-1.514304395,2.293117802
S198,28,1,0,-1,0,, , , , , ,-1,7,5,2,0,-1.974951166,3.900432108,-1.670378328,2.790163757,-1.400054823,1.960153507,-1.482749229,2.198545277
S021,23,1,0,-1,0,, , , , , ,-1,8,5,2,0,-1.93670013,3.750807394,-1.750896891,3.065639922,-1.491697789,2.225162293,-1.535341173,2.357272516
L207,39,1,0,-1,0,, , , , , ,-1,9,3,5,0,-1.495118749,2.235380072,-2.069903162,4.284499099,-0.322267883,0.103856589,-1.367046955,1.868817376
S056,22,1,0,-1,0,, , , , , ,-1,12,4,6,2,-1.418778055,2.012931168,-2.05533344,4.22439555,-0.341796496,0.116824845,-0.534027024,0.285184863
S036,39,1,0,-1,0,, , , , , ,-1,11,6,3,0,-1.226554607,1.504436205,-1.204904652,1.45179522,-0.906382827,0.821529828,-1.367046955,1.868817376
S038,27,1,0,-1,0,, , , , , ,-1,13,7,5,1,-1.188464949,1.412448936,-1.109816367,1.231692368,-0.542211001,0.29399277,-0.98735135,0.974862687
S079,33,1,0,-1,0,, , , , , ,-1,14,6,5,2,-0.938945637,0.88161891,-1.301526928,1.693972343,-0.432239442,0.186830936,-0.418324749,0.174995596
L206,35,1,0,-1,0,, , , , , ,-1,16,9,5,2,-0.631969082,0.399384921,-0.404320993,0.163475465,-0.395582256,0.156485321,-0.397287972,0.157837733
S090,20,1,0,-1,0,, , , , , ,-1,19,14,4,1,-0.517215975,0.267512364,0.795787501,0.633277746,-0.962568625,0.926538358,-1.06098007,1.125678709
L016,66,1,0,-1,0,, , , , , ,-1,14,8,5,0,-0.305140808,0.093110913,-0.193438737,0.037418545,0.172604132,0.029792186,-1.083050462,1.172998302
S020,24,1,0,-1,0,, , , , , ,-1,23,16,4,2,0.096737136,0.009358073,1.436868025,2.06458972,-0.889254253,0.790773126,-0.512990247,0.263158993
S151,27,1,0,-1,0,, , , , , ,-1,23,12,7,2,0.154355756,0.0238257,0.331847816,0.110122973,0.041903942,0.00175594,-0.481435081,0.231779737
L006,30,1,0,-1,0,, , , , , ,-1,24,15,6,1,0.346256448,0.119893528,1.245157464,1.55041711,-0.19516775,0.038090451,-0.955796184,0.913546345
L072,54,1,0,-1,0,, , , , , ,-1,24,13,5,4,0.807205414,0.651580581,1.054980894,1.112984687,-0.047338986,0.00224098,0.814393949,0.663237504
L104,26,1,0,-1,0,, , , , , ,-1,33,13,11,7,1.477970255,2.184396075,0.60407694,0.36490895,1.191805235,1.420399718,2.037627873,4.151927349
S085,23,1,0,-1,0,, , , , , ,-1,39,19,12,7,2.226044058,4.955272147,2.285762822,5.224711677,1.428876927,2.041689272,2.006072707,4.024327706
S201,32,1,1,0,0,,4, , ,1, ,0,21,14,4,2,-0.01817735,0.000330416,0.989032053,0.978184401,-0.742625507,0.551492644,-0.428843138,0.183906437
L026,30,1,1,0,0,,2, , ,2,0,0,22,12,7,1,0.077692307,0.006036094,0.380158954,0.14452083,0.096889721,0.009387618,-0.955796184,0.913546345
S146,29,1,1,0,0,, , , ,2, ,0,26,13,9,4,0.595614382,0.354756492,0.652388078,0.425610204,0.662676071,0.439139575,0.551434233,0.304079714
L127,24,1,1,0,0,,4, , ,2,1,0,28,14,12,2,0.768147488,0.590050564,0.860202351,0.739948085,1.44720552,2.094403817,-0.512990247,0.263158993
H020,55,1,1,1,0,, , , ,4, ,0,18,8,4,5,0.020719198,0.000429285,-0.370579576,0.137329222,-0.321067864,0.103084574,1.330828606,1.771104779
H040,19,1,0,1,0,, , , , , ,0,24,13,8,2,0.134988171,0.018221806,0.491350952,0.241425758,0.187332668,0.035093528,-0.56558219,0.319883214
H001,32,1,1,1,0,, , , ,2, ,0,23,13,7,3,0.250386791,0.062693545,0.700699216,0.490979391,0.133546908,0.017834777,0.077073131,0.005940267
H053,57,1,1,1,0,, , , ,3, ,0,22,11,5,5,0.596259894,0.355525861,0.526626359,0.277335322,0.007646794,5.85E-05,1.351865383,1.827540015
L186,26,1, , ,0,, , , , , , ,12,8,2,1,-1.341953227,1.800838463,-0.837587243,0.70155239,-1.436712009,2.064141398,-0.997869738,0.995744014
L041,30,1, , ,0,, , , , , , ,12,8,2,1,-1.265128399,1.600549867,-0.773172392,0.597795548,-1.363397637,1.858853116,-0.955796184,0.913546345
L149,34,1, , ,0,, , , , , , ,12,8,2,1,-1.188303571,1.412065378,-0.708757542,0.502337253,-1.290083264,1.664314828,-0.913722629,0.834889043
L059,56,1, , ,0,, , , , , , ,12,8,2,1,-0.765767019,0.586399127,-0.354475864,0.125653138,-0.886854214,0.786510397,-0.682318079,0.465557961
L036,57,1, , ,0,, , , , , , ,12,8,2,1,-0.746560812,0.557353046,-0.338372151,0.114495713,-0.868525621,0.754336755,-0.671799691,0.451314824
S091,26,1,1,0,1,1,3,0,0,1,0,0,8,6,0,1,-1.879081509,3.530947318,-1.414252916,2.000111311,-2.020826952,4.083741572,-0.997869738,0.995744014
S086,34,1,1,0,1,1,3,0,50000,2,0,0,15,10,4,0,-0.78545736,0.616943264,-0.132091869,0.017448262,-0.705968321,0.49839127,-1.419638898,2.0153746
S152,30,1,1,0,1,1,2,0,0,2,0,0,18,9,6,2,-0.459435976,0.211081416,-0.484839556,0.235069395,-0.19516775,0.038090451,-0.449879915,0.202391938
L081,56,1,1,1,1,1,3,3300,15000,3,1,1,13,9,3,0,-0.631484948,0.39877324,-0.066143027,0.0043749,-0.594796743,0.353783165,-1.188234348,1.411900865
S210,27,1,1,0,1,1,3,200000,1000000,2,0,0,23,13,8,2,0.154355756,0.0238257,0.620180653,0.384624042,0.333961413,0.111530226,-0.481435081,0.231779737
S217,27,1,1,0,1,1,4,1000000,10000000,3,1,0,23,14,4,5,0.154355756,0.0238257,0.908513489,0.82539676,-0.834268473,0.696003885,1.036313725,1.073946136
L110,44,1,1,0,1,1,4,10000000,100000000,3,1,1,31,15,11,4,1.555117839,2.418391493,1.470609441,2.162692128,1.521719912,2.31563149,0.709210063,0.502978913
S160,36,1,1,0,1,1, ,1000000000, , , ,0,21,6,12,2,0.058647478,0.003439527,-1.25321579,1.570549816,1.667148638,2.779384581,-0.386769583,0.149590711
S181,29,1,0,-1,1,1, , , , , ,-1,7,6,0,0,-1.955744959,3.824938345,-1.365941778,1.865796942,-1.965841173,3.864531517,-1.472230841,2.167463649
S032,32,1,0,-1,1,1, , , , , ,-1,7,4,0,1,-1.898126338,3.602883596,-1.894296314,3.588358524,-1.910855393,3.651368335,-0.934759406,0.873775148
S150,28,1,0,-1,1,1, , , , , ,-1,8,4,3,1,-1.840669095,3.388062719,-1.958711164,3.836549425,-1.107997351,1.227658131,-0.976832961,0.954202634
S176,33,1,0,-1,1,1, , , , , ,-1,8,2,5,0,-1.744638061,3.043761963,-2.454858274,6.026329146,-0.432239442,0.186830936,-1.430157286,2.045349864
