Record,exclude,Countytype,Age,Gender,BUS,BUS_history,EI,NascEntr,BUS_current,BRT,HPSs,RES_HPSs,ZRE_HPSs,ZHPSs,ZBRT
58,0,2,54,1,1,0,8,0,1,2.875,3.538461538,-0.020669563,-0.033083658,-0.024789165,0.514450409
59,0,1,72,0,0,-1,9,0,-1,1,4.307692308,0.900091387,1.440684332,1.183779373,-1.579085055
61,0,1,31,0,0,-1,19,0,-1,3.375,4.076923077,0.319421971,0.511266117,0.821208812,1.072726533
62,0,1,44,0,0,-1,16,0,-1,3.375,4.076923077,0.430365932,0.688842782,0.821208812,1.072726533
63,0,1,63,0,0,-1,7,0,-1,2,3.538461538,0.05405326,0.086517532,-0.024789165,-0.462532808
64,0,1,32,0,0,-1,8,0,-1,1,3.076923077,-0.672043878,-1.075671981,-0.749930288,-1.579085055
65,0,1,49,1,1,0,4,0,1,3.75,2.923076923,-0.678724933,-1.086365662,-0.991643995,1.491433626
66,0,1,59,0,1,0,9,0,1,3.375,3.461538462,-0.05700642,-0.091244353,-0.145646019,1.072726533
67,0,3,64,0,0,-1,5,0,-1,1,3.538461538,0.062587411,0.100177275,-0.024789165,-1.579085055
68,0,1,54,0,1,1,13,0,0,2.875,2.615384615,-0.945831021,-1.51389509,-1.47507141,0.514450409
69,0,1,92,0,1,0,4,0,0,1,3,-0.236917903,-0.379210284,-0.870787141,-1.579085055
70,0,1,54,0,1,0,8,0,0,3,3.230769231,-0.330446405,-0.528911803,-0.50821658,0.65401944
71,0,1,69,0,1,0,4,0,1,1,3.307692308,-0.125511065,-0.20089274,-0.387359726,-1.579085055
72,0,3,86,0,0,-1,5,0,-1,1,3.923076923,0.634954115,1.016306186,0.579495104,-1.579085055
73,0,2,70,0,0,-1,9,0,-1,2,4.076923077,0.652253855,1.043996112,0.821208812,-0.462532808
74,0,1,49,1,1,0,14,0,1,3.125,3.615384615,0.01358276,0.021740536,0.096067689,0.793588471
75,0,2,73,1,1,0, ,0,1, ,2.9,-0.496982235,-0.795468693,-1.027901051, 
76,0,1,48,0,0,-1,9,0,-1,1.375,3.692307692,0.079887151,0.127867202,0.216924543,-1.160377963
77,0,1,67,0,0,-1,8,0,-1,2.25,3.230769231,-0.219502444,-0.351335138,-0.50821658,-0.183394746
78,0,1,44,1,1,1,18,0,1,3.875,3,-0.64447261,-1.031541469,-0.870787141,1.631002657
79,0,1,52,0,1,0,19,0,0,3,4.230769231,0.652485293,1.044366552,1.062922519,0.65401944
80,0,1,71,0,1,0,10,0,1,1,4.230769231,0.81463416,1.303901678,1.062922519,-1.579085055
81,0,1,32,1,0,-1,15,0,-1,3.25,3.846153846,0.099271426,0.15889363,0.45863825,0.933157502
82,0,2,71,0,1,0,8,0,0,1,2.615384615,-0.800750456,-1.281679452,-1.47507141,-1.579085055
84,0,1,84,1,0,-1,9,0,-1,1.875,3.692307692,0.389201117,0.622954468,0.216924543,-0.602101839
85,0,1,55,0,1,0,9,0,1,2.75,3.076923077,-0.475758408,-0.761497881,-0.749930288,0.374881378
86,0,1,50,1,1,0,13,0,1,3.125,3.307692308,-0.285575397,-0.457091364,-0.387359726,0.793588471
