ID,Age,Gender,BUS,SerialEntr,BUS_history,Work_status,RevenueBest,MarketValBest,HPS,SV,MV,Ex,ZHPS,ZHPS2,ZSV,ZSV2,ZMV,ZMV2,ZEx,ZEx2,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
S071,28,1,1,0,0,0,70000,0,24,10,10,3,0.36,0.13,-0.10,0.01,0.91,0.84,0.12,0.01,0.03,0.00,-0.36,0.13,0.63,0.40,-0.13,0.02
S072,25,1,1,0,0,0,0,0,27,10,11,6,0.72,0.52,-0.10,0.01,1.19,1.42,1.56,2.43,0.33,0.11,-0.41,0.17,0.85,0.72,1.29,1.66
S074,45,1,1,1,1,5,100000,500000,20,8,7,4,-0.13,0.02,-0.60,0.36,0.08,0.01,0.60,0.36,-0.07,0.00,-0.58,0.34,0.15,0.02,0.72,0.52
S078,42,1,1,1,1,2,10500,10000000,31,13,10,6,1.21,1.46,0.65,0.42,0.91,0.84,1.56,2.43,1.25,1.55,0.63,0.40,0.94,0.88,1.64,2.69
S080,34,0,1,1,1,3,1000000, ,9,4,5,0,-1.47,2.17,-1.60,2.55,-0.47,0.22,-1.32,1.75,-1.68,2.83,-1.60,2.56,-0.69,0.48,-1.73,3.00
S081,29,1,1,0,0,2,1500000,25000000,19,8,6,3,-0.25,0.06,-0.60,0.36,-0.20,0.04,0.12,0.01,-0.58,0.33,-0.85,0.73,-0.48,0.23,-0.11,0.01
S082,25,1,1,0,0,0,2000, ,28,16,7,4,0.84,0.71,1.40,1.96,0.08,0.01,0.60,0.36,0.46,0.21,1.11,1.23,-0.29,0.08,0.30,0.09
S084,47,1,1,0,0,5,5000000, ,18,16,2,0,-0.37,0.14,1.40,1.96,-1.31,1.71,-1.32,1.75,-0.27,0.07,1.48,2.19,-1.22,1.50,-1.21,1.45
S086,34,1,1,0,0,1,0,50000,15,10,4,0,-0.74,0.55,-0.10,0.01,-0.75,0.56,-1.32,1.75,-0.96,0.92,-0.26,0.07,-0.94,0.89,-1.48,2.18
S088,39,1,1,1,1,2,500000,0,46,21,15,8,3.04,9.23,2.65,7.01,2.30,5.30,2.52,6.35,3.06,9.38,2.61,6.83,2.29,5.25,2.56,6.57
S089,26,1,1,0,0,0,1000,10000,22,10,7,3,0.11,0.01,-0.10,0.01,0.08,0.01,0.12,0.01,-0.27,0.07,-0.40,0.16,-0.26,0.07,-0.17,0.03
S091,26,1,1,0,0,1,0,0,8,6,0,1,-1.59,2.54,-1.10,1.20,-1.86,3.47,-0.84,0.71,-2.04,4.14,-1.41,2.00,-2.25,5.07,-1.15,1.33
S092,24,0,1,0,0,1,0,0,19,6,9,3,-0.25,0.06,-1.10,1.20,0.64,0.41,0.12,0.01,-0.66,0.44,-1.26,1.59,0.23,0.05,-0.47,0.22
S096,26,1,1,1,1,4,0, ,24,10,9,4,0.36,0.13,-0.10,0.01,0.64,0.41,0.60,0.36,-0.02,0.00,-0.40,0.16,0.30,0.09,0.32,0.10
S100,35,1,1,1,1,4,10000, ,11,8,2,0,-1.23,1.51,-0.60,0.36,-1.31,1.71,-1.32,1.75,-1.44,2.08,-0.75,0.57,-1.49,2.21,-1.46,2.12
S131,50,1,1,1,1,3,500000, ,17,11,5,0,-0.50,0.25,0.15,0.02,-0.47,0.22,-1.32,1.75,-0.32,0.11,0.26,0.07,-0.31,0.09,-1.14,1.31
S134,45,1,1,0,0,2,100000,100000,16,6,6,3,-0.62,0.38,-1.10,1.20,-0.20,0.04,0.12,0.01,-0.57,0.33,-1.09,1.19,-0.13,0.02,0.23,0.05
S145, , ,1,0,0,4,35000, ,28,15,7,3,0.84,0.71,1.15,1.32,0.08,0.01,0.12,0.01,,,,,,,,
S152,30,1,1,0,0,1,0,0,18,9,6,2,-0.37,0.14,-0.35,0.12,-0.20,0.04,-0.36,0.13,-0.68,0.46,-0.58,0.34,-0.46,0.21,-0.58,0.33
S154,35,1,1,1,1,5,500000,7000000,20,14,3,2,-0.13,0.02,0.90,0.81,-1.03,1.06,-0.36,0.13,-0.31,0.09,0.77,0.59,-1.20,1.45,-0.47,0.22
S157,40,1,1,1,1,5,12000000,25000000,26,10,11,4,0.60,0.36,-0.10,0.01,1.19,1.42,0.60,0.36,0.57,0.32,-0.16,0.03,1.18,1.39,0.62,0.38
S160,36,1,1,0,0,1,1000000000, ,21,6,12,2,-0.01,0.00,-1.10,1.20,1.47,2.16,-0.36,0.13,-0.16,0.02,-1.24,1.55,1.37,1.89,-0.45,0.20
S162,30,1,1,0,0,0,150000, ,24,9,9,3,0.36,0.13,-0.35,0.12,0.64,0.41,0.12,0.01,0.08,0.01,-0.58,0.34,0.39,0.15,-0.08,0.01
S163,36,1,1,0,0,2,0, ,26,15,10,0,0.60,0.36,1.15,1.32,0.91,0.84,-1.32,1.75,0.47,0.22,1.04,1.08,0.81,0.65,-1.44,2.06
S165,36,1,1,0,0,4,800000,8600000,20,8,9,3,-0.13,0.02,-0.60,0.36,0.64,0.41,0.12,0.01,-0.28,0.08,-0.74,0.54,0.52,0.27,0.04,0.00
S168,36,1,1,0,0,2,400,5000,27,9,14,3,0.72,0.52,-0.35,0.12,2.03,4.10,0.12,0.01,0.60,0.36,-0.48,0.23,1.94,3.77,0.04,0.00
S172,40,1,1,1,1,5,3500000,2000000,34,16,11,6,1.58,2.48,1.40,1.96,1.19,1.42,1.56,2.43,1.58,2.48,1.36,1.85,1.18,1.39,1.60,2.56
S173,34,1,1,0,0,2,20000, ,32,16,9,4,1.33,1.77,1.40,1.96,0.64,0.41,0.60,0.36,1.18,1.39,1.26,1.59,0.48,0.23,0.49,0.24
S174,28,1,1,0,0,4,155000000,100000000,19,12,3,3,-0.25,0.06,0.40,0.16,-1.03,1.06,0.12,0.01,-0.60,0.36,0.14,0.02,-1.36,1.84,-0.13,0.02
S177,40,1,1,0,0,4,220000,1000000000,31,14,10,4,1.21,1.46,0.90,0.81,0.91,0.84,0.60,0.36,1.20,1.44,0.85,0.73,0.89,0.80,0.62,0.38
S188,30,0,1,0,0,5,300000, ,27,14,10,3,0.72,0.52,0.90,0.81,0.91,0.84,0.12,0.01,0.49,0.24,0.87,0.76,0.64,0.41,-0.34,0.12
S197,37,1,1,0,0,2,30000,0,18,7,8,2,-0.37,0.14,-0.85,0.72,0.36,0.13,-0.36,0.13,-0.51,0.26,-0.97,0.95,0.26,0.07,-0.43,0.19
S199,42,1,1,0,0,2,20000, ,9,6,2,1,-1.47,2.17,-1.10,1.20,-1.31,1.71,-0.84,0.71,-1.52,2.32,-1.14,1.31,-1.33,1.78,-0.82,0.67
S202,37,1,1,0,0,3,15000000,30000000,37,18,11,6,1.94,3.77,1.90,3.61,1.19,1.42,1.56,2.43,1.88,3.54,1.82,3.31,1.11,1.24,1.54,2.36
S208,32,1,1,1,1,2,3400000,14000000,40,18,14,6,2.31,5.32,1.90,3.61,2.03,4.10,1.56,2.43,2.14,4.58,1.73,3.01,1.85,3.44,1.43,2.05
S209,27,1,1,1,1,5,100000,300000000,37,22,10,4,1.94,3.77,2.90,8.40,0.91,0.84,0.60,0.36,1.64,2.69,2.66,7.10,0.61,0.37,0.34,0.12
S210,27,1,1,0,0,1,200000,1000000,23,13,8,2,0.23,0.06,0.65,0.42,0.36,0.13,-0.36,0.13,-0.12,0.01,0.38,0.14,0.04,0.00,-0.64,0.41
S213,25,1,1,0,0,4,70000,400000,31,13,12,4,1.21,1.46,0.65,0.42,1.47,2.16,0.60,0.36,0.84,0.70,0.35,0.12,1.13,1.28,0.30,0.09
S214,25,1,1,0,0,4,70000,400000,31,11,12,6,1.21,1.46,0.15,0.02,1.47,2.16,1.56,2.43,0.84,0.70,-0.16,0.03,1.13,1.28,1.29,1.66
S217,27,1,1,0,0,1,1000000,10000000,23,14,4,5,0.23,0.06,0.90,0.81,-0.75,0.56,1.08,1.17,-0.12,0.01,0.63,0.40,-1.09,1.20,0.84,0.70
